Дата,Объем_продаж,Цена_за_тонну,Канал_продаж,Сезон,Акции,Регион,Тип_покупателя
2023-04-05,38.8,13828,бот,весна,0,Центральный,опт
2023-04-06,35.9,12437,почта,весна,0,Сибирский,розница
2023-04-07,30.2,13770,бот,весна,1,Центральный,розница
2023-04-08,34.8,13933,почта,весна,0,Южный,опт
2023-04-09,35.3,14095,почта,весна,0,Центральный,розница
2023-04-10,32.3,13407,почта,весна,0,Центральный,опт
2023-04-11,27.7,12975,почта,весна,0,Уральский,опт
2023-04-12,32.2,14151,почта,весна,0,Центральный,опт
2023-04-13,28.4,12155,почта,весна,1,Южный,розница
2023-04-14,30.6,14661,почта,весна,0,Уральский,розница
2023-04-15,36.6,14359,бот,весна,0,Сибирский,опт
2023-04-16,33.4,12663,почта,весна,0,Сибирский,розница
2023-04-17,31.3,12157,почта,весна,0,Сибирский,розница
2023-04-18,35.2,14696,бот,весна,0,Сибирский,розница
2023-04-19,35.8,13876,почта,весна,1,Южный,опт
2023-04-20,30.2,13906,почта,весна,1,Южный,розница
2023-04-21,27.1,13104,бот,весна,0,Уральский,розница
2023-04-22,36.0,14227,бот,весна,1,Сибирский,розница
2023-04-23,35.6,13636,почта,весна,0,Сибирский,опт
2023-04-24,37.4,12483,бот,весна,1,Южный,опт
2023-04-25,33.1,14371,бот,весна,1,Центральный,опт
2023-04-26,30.2,13594,почта,весна,0,Южный,опт
2023-04-27,29.4,14937,бот,весна,1,Сибирский,опт
2023-04-28,28.4,13202,бот,весна,1,Южный,опт
2023-04-29,36.6,13258,почта,весна,0,Центральный,розница
2023-04-30,33.1,13963,бот,весна,0,Центральный,опт
2023-05-01,35.0,12506,почта,весна,0,Сибирский,розница
2023-05-02,29.8,12719,бот,весна,0,Уральский,розница
2023-05-03,39.3,13697,бот,весна,1,Уральский,опт
2023-05-04,28.8,14313,бот,весна,1,Уральский,розница
2023-05-05,29.7,12188,бот,весна,0,Сибирский,опт
2023-05-06,35.4,12816,почта,весна,1,Сибирский,опт
2023-05-07,28.9,13380,почта,весна,1,Уральский,розница
2023-05-08,29.6,13395,почта,весна,1,Сибирский,опт
2023-05-09,32.1,12057,почта,весна,0,Южный,опт
2023-05-10,37.2,13405,бот,весна,1,Центральный,розница
2023-05-11,29.8,13381,почта,весна,0,Центральный,розница
2023-05-12,31.3,12394,бот,весна,0,Уральский,опт
2023-05-13,36.5,13298,почта,весна,1,Центральный,опт
2023-05-14,28.3,14102,почта,весна,1,Центральный,розница
2023-05-15,35.9,12763,бот,весна,1,Сибирский,розница
2023-05-16,35.1,14690,почта,весна,0,Уральский,розница
2023-05-17,29.7,12250,почта,весна,0,Уральский,розница
2023-05-18,32.0,13577,бот,весна,1,Уральский,опт
2023-05-19,31.2,14812,бот,весна,0,Южный,розница
2023-05-20,29.9,14791,почта,весна,1,Сибирский,опт
2023-05-21,31.3,14109,бот,весна,1,Уральский,розница
2023-05-22,38.4,13062,почта,весна,0,Центральный,опт
2023-05-23,34.1,13686,почта,весна,1,Центральный,опт
2023-05-24,35.0,12318,почта,весна,1,Центральный,опт
2023-05-25,31.4,12235,бот,весна,1,Центральный,розница
2023-05-26,36.1,13890,почта,весна,0,Центральный,розница
2023-05-27,31.8,13503,почта,весна,1,Сибирский,розница
2023-05-28,30.3,13789,бот,весна,1,Уральский,розница
2023-05-29,37.0,14371,почта,весна,0,Центральный,розница
2023-05-30,29.5,12379,почта,весна,1,Южный,опт
2023-05-31,30.4,13043,бот,весна,1,Сибирский,опт
2023-06-01,40.6,14669,бот,лето,1,Центральный,опт
2023-06-02,30.6,12403,почта,лето,1,Южный,опт
2023-06-03,39.5,13944,почта,лето,0,Центральный,розница
2023-06-04,35.0,14454,почта,лето,0,Сибирский,розница
2023-06-05,41.5,12532,бот,лето,1,Центральный,розница
2023-06-06,35.9,14452,почта,лето,1,Южный,розница
2023-06-07,40.4,12815,бот,лето,1,Южный,опт
2023-06-08,31.5,14642,почта,лето,1,Центральный,опт
2023-06-09,29.1,14364,почта,лето,0,Южный,розница
2023-06-10,43.6,12248,бот,лето,1,Сибирский,опт
2023-06-11,35.6,13891,почта,лето,0,Сибирский,розница
2023-06-12,40.4,14572,почта,лето,0,Центральный,розница
2023-06-13,39.9,12064,почта,лето,1,Южный,розница
2023-06-14,37.9,13395,почта,лето,0,Уральский,розница
2023-06-15,36.9,12177,бот,лето,1,Центральный,розница
2023-06-16,40.3,14055,бот,лето,0,Центральный,опт
2023-06-17,32.1,14575,почта,лето,0,Южный,розница
2023-06-18,36.4,14799,бот,лето,0,Сибирский,розница
2023-06-19,30.9,12865,бот,лето,1,Южный,опт
2023-06-20,40.7,12165,бот,лето,1,Уральский,розница
2023-06-21,37.4,13827,бот,лето,0,Сибирский,опт
2023-06-22,40.8,14216,почта,лето,0,Центральный,опт
2023-06-23,36.1,14111,почта,лето,0,Южный,опт
2023-06-24,35.1,13593,почта,лето,0,Сибирский,розница
2023-06-25,38.2,12267,почта,лето,1,Уральский,опт
2023-06-26,35.8,13498,бот,лето,1,Уральский,розница
2023-06-27,37.4,12880,почта,лето,0,Сибирский,опт
2023-06-28,38.6,13234,бот,лето,0,Центральный,розница
2023-06-29,33.9,13374,почта,лето,1,Центральный,розница
2023-06-30,38.9,14892,почта,лето,0,Уральский,розница
2023-07-01,37.1,14768,бот,лето,1,Уральский,розница
2023-07-02,39.7,14554,почта,лето,0,Центральный,розница
2023-07-03,34.9,14016,почта,лето,1,Сибирский,опт
2023-07-04,39.8,12727,бот,лето,1,Уральский,розница
2023-07-05,39.7,14491,бот,лето,0,Сибирский,опт
2023-07-06,34.4,13188,почта,лето,0,Сибирский,розница
2023-07-07,34.7,14497,бот,лето,1,Уральский,опт
2023-07-08,33.4,13714,бот,лето,0,Сибирский,опт
2023-07-09,31.7,14221,бот,лето,1,Сибирский,опт
2023-07-10,39.9,12841,бот,лето,0,Сибирский,опт
2023-07-11,35.1,12204,почта,лето,0,Уральский,розница
2023-07-12,30.9,13180,почта,лето,0,Уральский,розница
2023-07-13,36.5,13948,почта,лето,0,Сибирский,опт
2023-07-14,39.3,14536,почта,лето,0,Сибирский,опт
2023-07-15,30.7,12530,почта,лето,1,Южный,опт
2023-07-16,34.0,12496,почта,лето,1,Центральный,розница
2023-07-17,39.7,13414,почта,лето,1,Уральский,розница
2023-07-18,41.7,13200,бот,лето,1,Уральский,розница
2023-07-19,38.2,14824,почта,лето,0,Центральный,опт
2023-07-20,32.5,12186,почта,лето,0,Центральный,розница
2023-07-21,40.9,12501,бот,лето,1,Южный,опт
2023-07-22,35.2,12651,почта,лето,0,Сибирский,розница
2023-07-23,35.9,12600,почта,лето,0,Южный,розница
2023-07-24,31.8,12845,почта,лето,0,Южный,опт
2023-07-25,31.0,14835,бот,лето,0,Центральный,розница
2023-07-26,39.0,13234,бот,лето,0,Уральский,опт
2023-07-27,38.2,14289,бот,лето,0,Сибирский,розница
2023-07-28,30.6,14750,бот,лето,1,Центральный,розница
2023-07-29,34.4,13772,бот,лето,0,Сибирский,опт
2023-07-30,33.8,12184,почта,лето,0,Сибирский,розница
2023-07-31,34.1,12193,почта,лето,0,Сибирский,опт
2023-08-01,33.3,14628,бот,лето,1,Уральский,опт
2023-08-02,32.0,13944,бот,лето,1,Сибирский,опт
2023-08-03,33.9,14885,почта,лето,0,Сибирский,опт
2023-08-04,37.4,13541,бот,лето,0,Сибирский,розница
2023-08-05,32.0,13645,бот,лето,0,Сибирский,опт
2023-08-06,34.8,14316,почта,лето,1,Сибирский,розница
2023-08-07,36.5,13111,бот,лето,1,Уральский,опт
2023-08-08,39.8,13529,бот,лето,0,Сибирский,розница
2023-08-09,38.6,12413,почта,лето,0,Сибирский,опт
2023-08-10,35.8,14010,бот,лето,0,Южный,опт
2023-08-11,32.3,14131,почта,лето,1,Уральский,опт
2023-08-12,37.3,13425,почта,лето,0,Центральный,опт
2023-08-13,35.2,13357,бот,лето,0,Южный,опт
2023-08-14,43.3,13378,почта,лето,1,Уральский,розница
2023-08-15,40.0,12481,бот,лето,0,Уральский,розница
2023-08-16,35.2,12252,бот,лето,1,Уральский,розница
2023-08-17,31.9,14783,бот,лето,0,Сибирский,розница
2023-08-18,41.3,13919,почта,лето,1,Центральный,опт
2023-08-19,39.7,12920,бот,лето,1,Центральный,розница
2023-08-20,37.0,12067,почта,лето,0,Южный,розница
2023-08-21,34.4,14877,бот,лето,0,Южный,опт
2023-08-22,39.0,12481,почта,лето,0,Южный,розница
2023-08-23,36.3,14173,бот,лето,1,Уральский,розница
2023-08-24,39.1,14631,почта,лето,1,Сибирский,опт
2023-08-25,39.7,13753,почта,лето,1,Центральный,розница
2023-08-26,39.1,13502,почта,лето,0,Сибирский,опт
2023-08-27,40.9,12038,почта,лето,0,Сибирский,опт
2023-08-28,34.4,13500,бот,лето,0,Сибирский,опт
2023-08-29,39.2,13655,почта,лето,0,Сибирский,опт
2023-08-30,38.3,14270,бот,лето,0,Южный,розница
2023-08-31,40.2,13084,бот,лето,0,Уральский,опт
2023-09-01,29.5,13875,бот,осень,1,Сибирский,опт
2023-09-02,35.8,14793,бот,осень,1,Центральный,опт
2023-09-03,33.9,14989,почта,осень,1,Южный,розница
2023-09-04,31.5,14895,почта,осень,1,Уральский,опт
2023-09-05,31.8,12859,бот,осень,1,Южный,опт
2023-09-06,35.7,12888,почта,осень,0,Уральский,розница
2023-09-07,34.0,14315,бот,осень,1,Уральский,опт
2023-09-08,36.9,12677,почта,осень,0,Южный,опт
2023-09-09,29.3,12247,бот,осень,0,Уральский,розница
2023-09-10,27.9,14818,почта,осень,1,Сибирский,розница
2023-09-11,32.5,14981,почта,осень,0,Южный,розница
2023-09-12,31.2,14585,почта,осень,0,Сибирский,опт
2023-09-13,30.4,14642,бот,осень,1,Уральский,опт
2023-09-14,32.3,12236,бот,осень,0,Сибирский,розница
2023-09-15,40.5,12703,почта,осень,1,Центральный,розница
2023-09-16,36.4,14724,почта,осень,1,Сибирский,розница
2023-09-17,35.9,13559,почта,осень,0,Сибирский,розница
2023-09-18,31.5,14409,бот,осень,1,Сибирский,опт
2023-09-19,28.8,13482,бот,осень,1,Южный,розница
2023-09-20,30.9,14079,почта,осень,0,Уральский,опт
2023-09-21,35.0,13231,бот,осень,1,Центральный,опт
2023-09-22,34.3,14910,бот,осень,1,Южный,розница
2023-09-23,34.1,12854,почта,осень,1,Сибирский,опт
2023-09-24,30.2,14459,почта,осень,0,Сибирский,розница
2023-09-25,32.9,13924,почта,осень,1,Уральский,розница
2023-09-26,32.3,13840,бот,осень,0,Уральский,опт
2023-09-27,37.9,14923,бот,осень,0,Уральский,опт
2023-09-28,35.6,12217,почта,осень,1,Южный,розница
2023-09-29,37.6,12549,бот,осень,1,Центральный,розница
2023-09-30,37.5,12203,бот,осень,0,Южный,розница
2023-10-01,33.4,12971,почта,осень,1,Южный,розница
2023-10-02,30.5,13473,бот,осень,0,Центральный,опт
2023-10-03,36.4,12369,почта,осень,1,Южный,опт
2023-10-04,34.1,12727,почта,осень,1,Уральский,опт
2023-10-05,28.0,12290,почта,осень,1,Южный,розница
2023-10-06,35.2,14457,почта,осень,0,Центральный,опт
2023-10-07,30.0,12151,бот,осень,0,Южный,опт
2023-10-08,40.0,13446,почта,осень,1,Сибирский,розница
2023-10-09,32.4,12622,почта,осень,0,Сибирский,опт
2023-10-10,41.4,12183,почта,осень,0,Уральский,опт
2023-10-11,33.9,12265,почта,осень,1,Центральный,розница
2023-10-12,36.2,14936,бот,осень,1,Уральский,опт
2023-10-13,34.5,14345,бот,осень,0,Сибирский,розница
2023-10-14,29.6,13742,почта,осень,0,Сибирский,розница
2023-10-15,32.2,13681,бот,осень,1,Уральский,розница
2023-10-16,31.1,14164,бот,осень,0,Центральный,розница
2023-10-17,24.2,13134,бот,осень,0,Центральный,опт
2023-10-18,31.8,14234,бот,осень,0,Центральный,розница
2023-10-19,32.1,13553,почта,осень,0,Сибирский,розница
2023-10-20,39.0,14262,бот,осень,0,Уральский,опт
2023-10-21,36.6,13040,почта,осень,1,Центральный,розница
2023-10-22,28.8,14400,бот,осень,1,Центральный,опт
2023-10-23,36.9,13969,почта,осень,0,Центральный,розница
2023-10-24,39.1,12659,почта,осень,1,Южный,розница
2023-10-25,32.5,13200,почта,осень,0,Центральный,опт
2023-10-26,31.5,12472,бот,осень,1,Сибирский,опт
2023-10-27,29.2,13828,почта,осень,0,Южный,розница
2023-10-28,30.5,14152,бот,осень,1,Южный,розница
2023-10-29,30.3,12918,почта,осень,1,Южный,розница
2023-10-30,30.6,13460,бот,осень,0,Сибирский,опт
2023-10-31,33.0,14713,почта,осень,1,Уральский,розница
2023-11-01,36.9,12796,почта,осень,0,Южный,розница
2023-11-02,29.9,12702,почта,осень,0,Уральский,розница
2023-11-03,36.9,12434,бот,осень,0,Сибирский,розница
2023-11-04,28.8,13337,почта,осень,0,Сибирский,опт
2023-11-05,28.8,12568,почта,осень,0,Центральный,розница
2023-11-06,29.8,12979,почта,осень,1,Сибирский,розница
2023-11-07,30.5,13568,почта,осень,1,Уральский,опт
2023-11-08,34.5,12192,бот,осень,1,Южный,опт
2023-11-09,34.7,12844,почта,осень,1,Центральный,розница
2023-11-10,37.3,14754,почта,осень,0,Центральный,розница
2023-11-11,29.2,13351,бот,осень,0,Сибирский,опт
2023-11-12,35.3,14969,бот,осень,0,Центральный,розница
2023-11-13,36.4,13631,бот,осень,0,Сибирский,розница
2023-11-14,30.0,12423,бот,осень,0,Сибирский,опт
2023-11-15,29.5,12660,почта,осень,0,Уральский,розница
2023-11-16,29.3,12738,почта,осень,0,Южный,опт
2023-11-17,30.4,13495,почта,осень,0,Уральский,розница
2023-11-18,37.8,14165,почта,осень,0,Центральный,розница
2023-11-19,28.7,13553,бот,осень,1,Центральный,розница
2023-11-20,34.0,12104,почта,осень,1,Сибирский,опт
2023-11-21,32.3,12314,бот,осень,0,Южный,розница
2023-11-22,29.8,14737,бот,осень,0,Сибирский,опт
2023-11-23,30.8,13146,бот,осень,0,Южный,опт
2023-11-24,32.3,12781,бот,осень,1,Уральский,розница
2023-11-25,31.9,13189,бот,осень,1,Сибирский,опт
2023-11-26,40.2,14781,почта,осень,1,Сибирский,розница
2023-11-27,37.8,14054,бот,осень,1,Центральный,розница
2023-11-28,29.1,13870,почта,осень,1,Уральский,опт
2023-11-29,31.8,12106,бот,осень,0,Южный,розница
2023-11-30,33.7,13481,бот,осень,1,Южный,опт
2023-12-01,35.6,13005,бот,зима,0,Сибирский,розница
2023-12-02,29.4,12815,почта,зима,1,Центральный,розница
2023-12-03,31.8,13832,бот,зима,0,Уральский,опт
2023-12-04,26.7,13321,бот,зима,0,Уральский,опт
2023-12-05,36.7,14172,почта,зима,1,Уральский,опт
2023-12-06,36.2,14304,почта,зима,1,Уральский,опт
2023-12-07,28.0,13900,почта,зима,1,Южный,опт
2023-12-08,35.8,13830,бот,зима,1,Центральный,опт
2023-12-09,27.6,12001,бот,зима,0,Центральный,опт
2023-12-10,31.7,13519,почта,зима,1,Уральский,опт
2023-12-11,36.2,14146,бот,зима,0,Центральный,опт
2023-12-12,29.2,12687,бот,зима,1,Уральский,опт
2023-12-13,29.1,12106,бот,зима,0,Уральский,розница
2023-12-14,31.3,13901,бот,зима,0,Уральский,опт
2023-12-15,34.9,13095,почта,зима,0,Уральский,опт
2023-12-16,35.5,12370,бот,зима,0,Южный,опт
2023-12-17,38.0,13773,почта,зима,0,Центральный,розница
2023-12-18,29.7,13574,бот,зима,1,Уральский,розница
2023-12-19,31.3,13705,бот,зима,1,Южный,опт
2023-12-20,28.6,13607,бот,зима,1,Центральный,розница
2023-12-21,33.6,14499,почта,зима,0,Сибирский,розница
2023-12-22,34.3,13540,бот,зима,1,Южный,опт
2023-12-23,36.5,14295,почта,зима,1,Центральный,опт
2023-12-24,27.2,12207,почта,зима,0,Сибирский,опт
2023-12-25,28.4,12862,бот,зима,1,Сибирский,опт
2023-12-26,28.3,12704,бот,зима,0,Сибирский,опт
2023-12-27,33.9,14858,почта,зима,1,Сибирский,розница
2023-12-28,31.1,12164,бот,зима,0,Центральный,розница
2023-12-29,33.2,13083,почта,зима,1,Южный,розница
2023-12-30,34.4,14046,почта,зима,1,Южный,опт
2023-12-31,34.6,12524,бот,зима,1,Уральский,опт
2024-01-01,32.4,14905,бот,зима,0,Центральный,опт
2024-01-02,33.5,14436,бот,зима,1,Центральный,опт
2024-01-03,30.4,13124,почта,зима,1,Южный,розница
2024-01-04,28.2,13833,бот,зима,1,Уральский,опт
2024-01-05,29.9,13776,почта,зима,0,Южный,опт
2024-01-06,35.9,13353,бот,зима,0,Центральный,опт
2024-01-07,34.6,12797,почта,зима,1,Уральский,розница
2024-01-08,32.6,13562,почта,зима,0,Южный,розница
2024-01-09,27.0,14460,бот,зима,1,Южный,розница
2024-01-10,34.0,12713,почта,зима,0,Южный,розница
2024-01-11,33.5,14969,бот,зима,0,Сибирский,розница
2024-01-12,32.0,12095,бот,зима,0,Уральский,розница
2024-01-13,32.0,14820,почта,зима,0,Уральский,розница
2024-01-14,29.9,13136,бот,зима,1,Центральный,опт
2024-01-15,32.4,14927,почта,зима,1,Уральский,опт
2024-01-16,32.7,14788,почта,зима,1,Уральский,розница
2024-01-17,33.1,12481,бот,зима,1,Уральский,розница
2024-01-18,33.4,12455,бот,зима,1,Центральный,опт
2024-01-19,36.8,12778,почта,зима,0,Центральный,опт
2024-01-20,28.5,12542,почта,зима,1,Центральный,розница
2024-01-21,30.9,12695,бот,зима,1,Сибирский,розница
2024-01-22,32.2,12107,бот,зима,0,Сибирский,розница
2024-01-23,35.9,13941,почта,зима,0,Центральный,розница
2024-01-24,34.5,14266,почта,зима,1,Сибирский,розница
2024-01-25,30.5,14482,почта,зима,0,Южный,опт
2024-01-26,30.5,12398,почта,зима,0,Центральный,розница
2024-01-27,27.8,13707,почта,зима,0,Уральский,опт
2024-01-28,35.8,14527,бот,зима,0,Сибирский,розница
2024-01-29,28.3,12759,бот,зима,0,Сибирский,розница
2024-01-30,36.7,12693,бот,зима,1,Сибирский,розница
2024-01-31,35.6,13654,бот,зима,0,Уральский,розница
2024-02-01,30.1,12079,почта,зима,0,Сибирский,розница
2024-02-02,32.1,12118,почта,зима,0,Сибирский,опт
2024-02-03,25.0,14227,почта,зима,0,Южный,розница
2024-02-04,31.4,13964,почта,зима,0,Южный,опт
2024-02-05,31.8,14903,бот,зима,1,Уральский,розница
2024-02-06,27.1,14208,почта,зима,0,Уральский,розница
2024-02-07,27.8,13227,почта,зима,1,Уральский,опт
2024-02-08,35.7,12945,почта,зима,1,Уральский,розница
2024-02-09,33.4,14961,бот,зима,1,Уральский,опт
2024-02-10,27.3,13572,бот,зима,1,Центральный,розница
2024-02-11,28.9,13250,почта,зима,0,Сибирский,розница
2024-02-12,29.1,14479,бот,зима,1,Уральский,розница
2024-02-13,26.5,12247,бот,зима,0,Центральный,опт
2024-02-14,29.3,14432,почта,зима,1,Центральный,розница
2024-02-15,38.2,12010,бот,зима,0,Уральский,опт
2024-02-16,35.0,13548,почта,зима,0,Центральный,розница
2024-02-17,37.2,14094,почта,зима,1,Центральный,розница
2024-02-18,24.3,14567,почта,зима,1,Уральский,розница
2024-02-19,37.4,14249,почта,зима,1,Сибирский,опт
2024-02-20,31.8,13162,почта,зима,0,Центральный,розница
2024-02-21,31.8,12788,бот,зима,1,Сибирский,розница
2024-02-22,25.9,13991,бот,зима,1,Уральский,розница
2024-02-23,32.4,12495,бот,зима,0,Центральный,розница
2024-02-24,35.0,14800,почта,зима,0,Центральный,розница
2024-02-25,32.9,13007,бот,зима,1,Южный,опт
2024-02-26,33.7,12126,почта,зима,1,Уральский,опт
2024-02-27,38.2,14318,бот,зима,0,Сибирский,розница
2024-02-28,30.4,13363,бот,зима,1,Южный,опт
2024-02-29,30.6,14081,почта,зима,1,Сибирский,розница
2024-03-01,31.5,12053,почта,весна,0,Южный,розница
2024-03-02,27.0,14778,почта,весна,1,Уральский,опт
2024-03-03,33.2,13888,бот,весна,0,Уральский,опт
2024-03-04,30.4,12651,почта,весна,0,Сибирский,опт
2024-03-05,37.1,13909,бот,весна,0,Уральский,опт
2024-03-06,33.9,12736,бот,весна,1,Сибирский,розница
2024-03-07,32.8,14713,почта,весна,0,Уральский,розница
2024-03-08,28.4,13915,бот,весна,1,Сибирский,опт
2024-03-09,30.5,13857,почта,весна,0,Южный,розница
2024-03-10,32.3,14075,почта,весна,0,Центральный,опт
2024-03-11,31.3,12451,почта,весна,1,Уральский,розница
2024-03-12,34.5,13089,бот,весна,0,Сибирский,опт
2024-03-13,34.3,12447,бот,весна,1,Южный,розница
2024-03-14,34.8,13784,почта,весна,1,Сибирский,розница
2024-03-15,31.9,14972,почта,весна,0,Центральный,опт
2024-03-16,28.2,12409,бот,весна,1,Сибирский,розница
2024-03-17,26.1,14965,бот,весна,1,Сибирский,розница
2024-03-18,38.1,14693,почта,весна,0,Уральский,опт
2024-03-19,34.4,13937,почта,весна,1,Сибирский,опт
2024-03-20,32.5,14747,почта,весна,1,Южный,опт
2024-03-21,32.0,12547,почта,весна,0,Южный,розница
2024-03-22,35.9,13612,почта,весна,1,Южный,опт
2024-03-23,31.2,12590,почта,весна,1,Сибирский,розница
2024-03-24,30.9,12102,бот,весна,0,Уральский,опт
2024-03-25,31.3,12575,почта,весна,1,Южный,розница
2024-03-26,33.1,14535,бот,весна,0,Уральский,розница
2024-03-27,27.8,14378,бот,весна,1,Центральный,розница
2024-03-28,38.1,14095,почта,весна,1,Сибирский,опт
2024-03-29,32.7,13217,почта,весна,1,Центральный,опт
2024-03-30,33.5,12144,почта,весна,0,Центральный,опт
2024-03-31,30.2,12720,бот,весна,1,Южный,опт
2024-04-01,36.4,12371,бот,весна,0,Сибирский,опт
2024-04-02,32.7,14409,бот,весна,0,Центральный,розница
2024-04-03,27.7,14815,бот,весна,1,Центральный,опт
2024-04-04,29.2,13401,бот,весна,0,Центральный,опт
2024-04-05,30.3,14532,почта,весна,0,Уральский,розница
2024-04-06,28.7,12189,почта,весна,1,Центральный,опт
2024-04-07,32.8,14723,почта,весна,1,Центральный,опт
2024-04-08,31.6,13295,бот,весна,1,Центральный,опт
2024-04-09,37.5,13521,бот,весна,1,Южный,опт
2024-04-10,35.5,12107,бот,весна,1,Сибирский,розница
2024-04-11,29.4,13751,почта,весна,0,Уральский,опт
2024-04-12,33.0,14141,почта,весна,0,Центральный,розница
2024-04-13,30.4,13569,почта,весна,1,Южный,опт
2024-04-14,31.1,14689,почта,весна,0,Центральный,розница
2024-04-15,33.9,12680,бот,весна,0,Уральский,опт
2024-04-16,33.9,12060,почта,весна,0,Центральный,опт
2024-04-17,38.6,13480,почта,весна,1,Уральский,розница
2024-04-18,38.0,14297,почта,весна,0,Южный,розница
2024-04-19,36.0,14724,бот,весна,1,Уральский,опт
2024-04-20,38.4,14365,почта,весна,0,Южный,опт
2024-04-21,34.7,14268,почта,весна,1,Уральский,розница
2024-04-22,32.8,12591,почта,весна,0,Сибирский,опт
2024-04-23,35.2,13176,бот,весна,0,Уральский,розница
2024-04-24,28.4,14914,почта,весна,1,Южный,розница
2024-04-25,31.2,14181,бот,весна,1,Южный,опт
2024-04-26,30.0,12607,бот,весна,0,Уральский,розница
2024-04-27,27.1,13621,почта,весна,1,Уральский,опт
2024-04-28,29.3,13818,бот,весна,0,Южный,опт
2024-04-29,24.3,13227,бот,весна,0,Центральный,опт
2024-04-30,36.5,13143,почта,весна,1,Центральный,опт
2024-05-01,27.0,13730,бот,весна,1,Центральный,розница
2024-05-02,28.3,14233,почта,весна,0,Центральный,опт
2024-05-03,32.0,14734,бот,весна,1,Уральский,опт
2024-05-04,30.8,14537,почта,весна,0,Центральный,опт
2024-05-05,37.6,12850,почта,весна,0,Сибирский,опт
2024-05-06,34.9,13321,бот,весна,1,Южный,розница
2024-05-07,35.6,12787,почта,весна,0,Сибирский,розница
